date,open,high,close,low,volume,amount
2015-08-11,19.83,20.36,19.92,19.22,12003465.0,235223984.0
2015-08-10,18.43,19.88,19.78,18.43,9289678.0,178155664.0
2015-08-07,17.68,18.2,18.18,17.68,6782378.0,120908688.0
2015-08-06,17.14,18.19,17.57,17.01,6060900.0,105891840.0
2015-08-05,17.6,18.58,17.71,17.3,10323581.0,183783616.0
2015-08-04,16.39,17.55,17.55,15.99,9429263.0,155652592.0
2015-08-03,17.59,17.59,15.96,15.96,8785370.0,141620160.0
2015-07-31,17.92,18.62,17.73,17.22,7703564.0,137374096.0
2015-07-30,19.67,19.97,18.8,18.63,9004523.0,172219616.0
2015-07-29,19.34,19.73,19.68,17.4,8661822.0,160915632.0
2015-07-28,18.98,20.44,18.85,18.84,11324229.0,215788464.0
2015-07-27,22.56,23.93,20.93,20.93,9927644.0,220120448.0
2015-07-24,24.28,24.84,23.26,22.64,13279990.0,315341792.0
2015-07-23,23.47,24.55,24.42,23.27,14114769.0,335239296.0
2015-07-22,21.49,22.76,22.72,21.49,12318604.0,269679104.0
2015-07-21,21.1,21.74,21.47,20.4,8465219.0,178321008.0
2015-07-20,21.35,21.74,21.39,20.34,11848416.0,248006112.0
2015-07-17,20.74,22.23,21.35,20.44,9587055.0,200683504.0
2015-07-16,20.22,22.56,20.31,20.12,14863312.0,305656672.0
2015-07-15,23.05,23.31,22.36,22.36,8596642.0,191549440.0
2015-07-14,26.71,27.31,24.85,24.85,20382184.0,522702592.0
2015-07-13,25.93,28.23,27.61,25.93,21567192.0,576820224.0
2015-07-10,22.46,25.91,25.91,22.36,16417959.0,405972160.0
2015-07-01,25.29,26.1,23.55,23.07,12419999.0,306874848.0
2015-06-30,24.1,25.43,25.3,21.69,17452144.0,403822080.0
2015-06-29,26.81,27.3,24.1,23.09,16845212.0,419368224.0
2015-06-26,27.32,27.82,25.58,24.56,15028914.0,389479680.0
2015-06-25,28.33,28.83,27.29,26.31,10964201.0,305218944.0
2015-06-24,27.92,28.83,28.37,27.8,10078598.0,282931264.0
2015-06-23,27.12,29.14,27.5,25.61,8679567.0,232190352.0
2015-06-19,31.34,31.34,28.4,28.4,7631031.0,221920912.0
2015-06-18,31.3,33.28,31.56,30.74,8638205.0,275039616.0
2015-06-17,31.82,32.58,31.69,30.15,9081136.0,280188448.0
2015-06-16,30.84,33.87,32.74,29.96,15313061.0,487922592.0
2015-06-15,35.4,35.4,32.06,32.06,19936952.0,651403200.0
2015-06-12,35.1,36.4,35.62,34.41,15982588.0,561584000.0
2015-06-11,33.56,35.39,34.79,32.89,17307574.0,586159872.0
2015-06-10,34.5,36.78,34.25,32.61,26903312.0,936634240.0
2015-06-09,30.82,33.73,33.73,30.82,20443848.0,658767744.0
2015-06-08,28.73,31.26,30.67,28.73,17986804.0,539457856.0
2015-06-05,27.69,28.68,28.52,27.69,13929188.0,388272000.0
2015-06-04,27.74,27.87,27.32,25.29,8889611.0,234903840.0
2015-06-03,28.58,28.83,27.74,26.93,11966061.0,327358688.0
2015-06-02,27.82,28.93,28.57,27.72,11262323.0,315811136.0
2015-06-01,26.16,28.12,27.5,26.16,9809102.0,265211056.0
2015-05-29,25.8,26.89,26.1,23.98,12839888.0,326702496.0
2015-05-28,28.28,28.28,25.57,25.56,18236620.0,491589664.0
