49.91,82.51,62.23,3.42,16.61,10.16,57.18,52.65,52.65,0.00202,2.678153
68.05,374.86,334.42,3.44,16.65,10.84,56.2,59.79,59.79,0.004658,1.678335
76.28,384.99,304.89,3.46,16.68,11.49,56.2,66.01,66.01,0.006761,1.413411
112.02,584.96,394.39,3.5,16.78,12.6,57.86,72.95,72.95,0.010834,0.123643
158.37,584.13,335.96,3.54,16.88,13.66,57.68,69.81,69.81,0.013739,0.532037
153.86,505.45,253.19,3.58,16.98,14.68,57.66,68.77,68.77,0.016003,0.550433
153.35,454.83,207.56,3.62,17.07,15.65,57.83,66.67,66.67,0.015692,0.490758
156.84,423.01,181.91,3.66,17.17,16.65,57.87,68.47,68.47,0.01581,0.274914
164.98,407.89,170.21,3.7,17.28,17.68,58.27,72,72,0.013992,0.063991
167.35,376.53,153.07,3.75,17.4,18.7,58.09,71.88,71.88,0.013056,0.210363
168.64,346.76,138.14,3.79,17.51,19.7,57.82,73.63,73.63,0.012504,0.246778
166.72,313.75,122.42,3.84,17.62,20.66,57.8,73.09,73.09,0.012087,0.242297
164.49,285.28,109.47,3.88,17.73,21.59,57.76,74.36,74.36,0.011691,0.114275
166.33,269.64,103.52,3.93,17.84,22.5,57.98,75.45,75.45,0.011225,0.123305
169.2,257.38,99.51,3.97,17.96,23.41,58.25,75.29,75.29,0.010942,0
171.46,244.92,95.32,4.02,18.08,24.32,58.23,75.96,75.96,0.01071,-0.104908
161.51,210.39,77.1,4.06,18.17,24.88,60.4,68.88,68.88,0.010364,0
165.73,203.43,75.46,4.1,18.25,25.38,62.58,71.09,71.09,0.010238,-0.282847
162.92,184.8,66.4,4.13,18.32,25.78,62.36,72.93,72.93,0.009957,0.237638
168.51,181.04,66.99,4.17,18.4,26.18,62.21,76.63,76.63,0.009668,0.676479
161.59,159.77,54.86,4.21,18.45,26.34,61.84,74.91,74.91,0.009337,0.48022
162.12,151.06,51.21,4.24,18.51,26.52,61.91,73.68,73.68,0.009182,0.375389
161.79,142.16,46.93,4.27,18.56,26.69,61.73,73.24,73.24,0.008877,0.425727
158.55,130.69,39.44,4.31,18.61,26.76,61.48,76.87,76.87,0.008695,0.46256
163.84,130.34,42.28,4.34,18.66,26.87,61.61,77.38,77.38,0.008619,0.333928
173.97,134.98,52.49,4.37,18.72,27.07,61.93,76.85,76.85,0.008622,0.22402
182.02,136.96,62.27,4.41,18.79,27.36,62.01,78.86,78.86,0.008785,0.123226
185.66,134.37,68.38,4.45,18.86,27.65,61.93,78.84,78.84,0.008951,0
190.03,133.21,80.2,4.49,18.93,27.97,62.01,78.36,78.36,0.00917,-0.141314
189.49,127.92,85.56,4.53,19,28.28,61.73,79.06,79.06,0.009267,0
187.1,121.73,90.04,4.56,19.07,28.53,61.61,78.66,78.66,0.009328,0
179.68,112.17,67.86,4.59,19.09,28.32,60.87,72.97,72.97,0.009284,-0.237107
177.88,108.58,69.5,4.62,19.12,28.14,59.74,68.48,68.48,0.0091,-0.50722
